#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  25300      1.35e-01    7.56e-03      2.06e-03    8.30e-04      5.10e-02    2.26e-03    5.9e-06
  25400      1.22e-01    8.02e-02      1.30e-03    3.68e-03      4.62e-02    2.94e-02    5.9e-06
  25500      1.39e-01    6.77e-02      4.21e-03    3.19e-03      5.42e-02    2.59e-02    5.3e-06
  25600      1.10e-01    1.42e-02      1.54e-03    1.40e-03      4.36e-02    4.67e-03    5.3e-06
  25700      1.41e-01    4.90e-02      5.06e-03    3.06e-03      5.46e-02    1.82e-02    5.3e-06
  25800      1.21e-01    4.29e-02      2.34e-03    4.25e-03      4.76e-02    1.41e-02    5.3e-06
  25900      1.37e-01    1.06e-02      2.20e-03    1.40e-03      5.40e-02    2.80e-03    5.3e-06
  26000      1.24e-01    9.37e-02      4.01e-03    4.83e-03      5.07e-02    3.71e-02    4.8e-06
  26100      8.44e-02    1.41e-02      1.07e-03    1.69e-03      3.49e-02    4.31e-03    4.8e-06
  26200      1.12e-01    1.89e-02      1.86e-03    8.52e-04      4.64e-02    7.58e-03    4.8e-06
  26300      1.15e-01    9.24e-03      1.40e-03    1.26e-03      4.77e-02    2.45e-03    4.8e-06
  26400      1.16e-01    1.22e-02      3.04e-03    1.19e-03      4.76e-02    4.24e-03    4.8e-06
  26500      1.01e-01    1.16e-02      1.80e-03    8.97e-04      4.36e-02    4.53e-03    4.4e-06
  26600      1.11e-01    2.17e-02      2.62e-03    1.15e-03      4.74e-02    8.96e-03    4.4e-06
  26700      1.22e-01    4.21e-02      2.32e-03    1.15e-03      5.23e-02    1.80e-02    4.4e-06
  26800      1.08e-01    1.38e-02      3.59e-03    1.23e-03      4.56e-02    5.16e-03    4.4e-06
  26900      1.09e-01    9.33e-03      1.93e-03    1.58e-03      4.67e-02    1.16e-03    4.4e-06
  27000      1.27e-01    3.56e-02      2.25e-03    2.20e-03      5.70e-02    1.50e-02    3.9e-06
  27100      1.32e-01    2.52e-02      2.32e-03    1.79e-03      5.90e-02    1.04e-02    3.9e-06
  27200      1.06e-01    1.90e-02      1.30e-03    1.10e-03      4.75e-02    8.11e-03    3.9e-06
  27300      1.22e-01    1.27e-02      1.19e-03    1.09e-03      5.49e-02    5.02e-03    3.9e-06
  27400      1.10e-01    3.00e-02      1.82e-03    1.53e-03      4.95e-02    1.29e-02    3.9e-06
  27500      1.04e-01    2.03e-02      1.15e-03    8.62e-04      4.85e-02    9.26e-03    3.5e-06
  27600      1.08e-01    3.01e-02      3.84e-03    3.70e-03      4.94e-02    1.02e-02    3.5e-06
  27700      1.16e-01    4.18e-02      4.35e-03    1.29e-03      5.31e-02    1.93e-02    3.5e-06
  27800      8.28e-02    4.15e-02      1.19e-03    1.81e-03      3.87e-02    1.89e-02    3.5e-06
  27900      1.16e-01    5.00e-02      2.90e-03    1.05e-03      5.37e-02    2.33e-02    3.5e-06
  28000      1.04e-01    2.32e-02      5.31e-03    2.18e-03      4.82e-02    9.61e-03    3.2e-06
  28100      1.01e-01    1.64e-02      1.07e-03    1.00e-03      4.94e-02    7.49e-03    3.2e-06
  28200      8.19e-02    7.30e-03      1.66e-03    1.20e-03      3.96e-02    1.30e-03    3.2e-06
  28300      1.07e-01    2.47e-02      2.17e-03    1.14e-03      5.18e-02    1.16e-02    3.2e-06
  28400      8.53e-02    1.45e-02      2.01e-03    2.31e-03      4.13e-02    3.14e-03    3.2e-06
  28500      9.71e-02    3.86e-02      2.90e-03    9.83e-04      4.83e-02    1.94e-02    2.9e-06
  28600      8.00e-02    7.15e-02      1.39e-03    4.26e-03      4.03e-02    3.42e-02    2.9e-06
  28700      9.36e-02    1.79e-02      3.75e-03    8.47e-04      4.58e-02    8.77e-03    2.9e-06
  28800      1.07e-01    1.16e-02      2.35e-03    1.12e-03      5.36e-02    4.91e-03    2.9e-06
  28900      8.64e-02    2.15e-02      2.79e-03    1.12e-03      4.29e-02    1.04e-02    2.9e-06
  29000      9.38e-02    1.79e-02      1.79e-03    3.98e-04      4.91e-02    9.34e-03    2.6e-06
  29100      8.56e-02    7.97e-02      4.01e-03    9.75e-03      4.29e-02    3.03e-02    2.6e-06
  29200      8.22e-02    1.79e-02      2.90e-03    1.52e-03      4.22e-02    8.30e-03    2.6e-06
  29300      1.15e-01    2.02e-02      2.91e-03    1.68e-03      5.97e-02    9.42e-03    2.6e-06
  29400      8.91e-02    3.65e-02      1.59e-03    1.03e-03      4.67e-02    1.90e-02    2.6e-06
  29500      9.49e-02    5.37e-03      1.04e-03    8.76e-04      5.17e-02    1.13e-03    2.4e-06
  29600      7.95e-02    1.46e-02      3.42e-03    1.26e-03      4.18e-02    6.97e-03    2.4e-06
  29700      9.56e-02    1.62e-02      2.70e-03    1.42e-03      5.15e-02    7.67e-03    2.4e-06
  29800      8.71e-02    8.40e-03      1.29e-03    1.32e-03      4.74e-02    2.14e-03    2.4e-06
  29900      7.13e-02    9.06e-03      2.59e-03    1.13e-03      3.79e-02    3.51e-03    2.4e-06
  30000      9.01e-02    3.80e-02      1.89e-03    1.12e-03      5.06e-02    2.12e-02    2.1e-06
  30100      8.33e-02    7.63e-03      2.32e-03    1.13e-03      4.65e-02    2.34e-03    2.1e-06
  30200      1.03e-01    4.37e-02      2.48e-03    1.02e-03      5.76e-02    2.45e-02    2.1e-06
  30300      9.48e-02    7.83e-03      5.29e-03    1.34e-03      5.09e-02    1.07e-03    2.1e-06
  30400      8.33e-02    2.22e-02      2.11e-03    2.24e-03      4.66e-02    1.03e-02    2.1e-06
  30500      8.50e-02    2.17e-02      3.20e-03    9.36e-04      4.84e-02    1.23e-02    1.9e-06
  30600      8.62e-02    1.47e-02      3.46e-03    1.26e-03      4.90e-02    7.55e-03    1.9e-06
  30700      7.45e-02    1.57e-02      2.80e-03    7.77e-04      4.24e-02    8.81e-03    1.9e-06
  30800      1.02e-01    1.70e-02      2.77e-03    1.15e-03      5.89e-02    9.22e-03    1.9e-06
  30900      7.75e-02    1.51e-02      4.80e-03    1.49e-03      4.23e-02    7.36e-03    1.9e-06
  31000      7.46e-02    1.40e-02      2.59e-03    1.12e-03      4.43e-02    7.56e-03    1.7e-06
  31100      7.67e-02    1.16e-02      4.15e-03    1.09e-03      4.41e-02    5.96e-03    1.7e-06
  31200      6.99e-02    1.77e-02      3.36e-03    1.23e-03      4.03e-02    9.82e-03    1.7e-06
  31300      9.10e-02    4.00e-03      2.97e-03    8.46e-05      5.41e-02    2.40e-03    1.7e-06
  31400      8.96e-02    3.85e-02      2.32e-03    2.13e-03      5.34e-02    2.21e-02    1.7e-06
  31500      8.57e-02    8.01e-03      3.24e-03    1.21e-03      5.19e-02    2.58e-03    1.6e-06
  31600      7.65e-02    1.74e-02      3.08e-03    3.21e-04      4.63e-02    1.08e-02    1.6e-06
  31700      9.69e-02    2.89e-02      3.94e-03    1.15e-03      5.88e-02    1.76e-02    1.6e-06
  31800      6.99e-02    2.95e-02      1.83e-03    1.15e-03      4.30e-02    1.80e-02    1.6e-06
  31900      7.55e-02    1.45e-02      2.87e-03    1.12e-03      4.57e-02    8.18e-03    1.6e-06
  32000      7.41e-02    9.63e-03      2.41e-03    1.33e-03      4.69e-02    3.87e-03    1.4e-06
  32100      8.12e-02    6.46e-03      2.70e-03    1.11e-03      5.11e-02    1.05e-03    1.4e-06
  32200      6.15e-02    7.92e-03      1.43e-03    1.09e-03      3.91e-02    3.20e-03    1.4e-06
  32300      7.97e-02    1.59e-02      2.51e-03    1.11e-03      5.03e-02    9.40e-03    1.4e-06
  32400      9.75e-02    3.24e-02      4.01e-03    1.02e-03      6.05e-02    2.05e-02    1.4e-06
  32500      6.27e-02    6.49e-03      1.74e-03    9.49e-04      4.08e-02    2.42e-03    1.3e-06
  32600      7.28e-02    1.41e-02      2.62e-03    1.11e-03      4.71e-02    8.40e-03    1.3e-06
  32700      7.46e-02    1.19e-02      1.86e-03    1.17e-03      4.89e-02    6.59e-03    1.3e-06
  32800      7.14e-02    3.33e-02      3.61e-03    1.14e-03      4.50e-02    2.17e-02    1.3e-06
  32900      8.84e-02    1.15e-02      4.37e-03    1.30e-03      5.61e-02    5.90e-03    1.3e-06
  33000      5.94e-02    3.16e-02      1.37e-03    1.09e-03      4.02e-02    2.12e-02    1.1e-06
  33100      6.56e-02    7.51e-03      3.16e-03    1.17e-03      4.27e-02    2.44e-03    1.1e-06
  33200      6.28e-02    1.15e-02      2.86e-03    1.16e-03      4.12e-02    6.44e-03    1.1e-06
  33300      6.71e-02    8.76e-03      2.19e-03    1.24e-03      4.47e-02    3.59e-03    1.1e-06
  33400      7.99e-02    1.61e-02      2.57e-03    1.10e-03      5.34e-02    1.01e-02    1.1e-06
  33500      8.61e-02    1.35e-02      4.71e-03    1.41e-03      5.67e-02    7.62e-03    1.0e-06
  33600      7.58e-02    1.22e-02      3.11e-03    1.14e-03      5.07e-02    7.30e-03    1.0e-06
  33700      6.77e-02    3.26e-02      3.19e-03    1.14e-03      4.57e-02    2.24e-02    1.0e-06
  33800      6.98e-02    1.04e-02      3.30e-03    1.14e-03      4.69e-02    5.70e-03    1.0e-06
  33900      8.67e-02    1.11e-02      3.49e-03    8.28e-04      5.84e-02    7.09e-03    1.0e-06
  34000      7.38e-02    1.99e-02      4.66e-03    1.20e-03      4.91e-02    1.35e-02    9.3e-07
  34100      7.24e-02    7.52e-03      2.01e-03    1.07e-03      5.13e-02    3.20e-03    9.3e-07
  34200      6.96e-02    9.77e-03      3.34e-03    1.32e-03      4.78e-02    4.51e-03    9.3e-07
  34300      6.62e-02    8.10e-03      3.43e-03    1.40e-03      4.51e-02    1.25e-03    9.3e-07
  34400      7.26e-02    7.65e-03      1.29e-03    1.15e-03      5.19e-02    2.90e-03    9.3e-07
  34500      6.77e-02    1.47e-02      4.67e-03    1.25e-03      4.57e-02    9.49e-03    8.4e-07
  34600      6.34e-02    1.27e-02      3.22e-03    7.07e-04      4.47e-02    8.89e-03    8.4e-07
  34700      6.45e-02    1.14e-02      1.38e-03    1.73e-03      4.72e-02    4.34e-03    8.4e-07
  34800      6.78e-02    3.47e-02      3.76e-03    3.24e-03      4.68e-02    2.17e-02    8.4e-07
  34900      6.73e-02    1.19e-02      2.43e-03    2.15e-04      4.82e-02    8.74e-03    8.4e-07
  35000      5.82e-02    2.73e-03      1.90e-03    4.19e-04      4.30e-02    1.02e-03    7.6e-07
  35100      6.79e-02    1.51e-02      4.78e-03    1.11e-03      4.65e-02    1.04e-02    7.6e-07
  35200      5.63e-02    7.89e-03      2.23e-03    1.09e-03      4.13e-02    3.69e-03    7.6e-07
  35300      6.67e-02    1.29e-02      2.76e-03    1.99e-03      4.82e-02    4.81e-03    7.6e-07
  35400      5.90e-02    2.23e-02      3.17e-03    1.09e-03      4.15e-02    1.61e-02    7.6e-07
  35500      7.32e-02    2.30e-02      5.35e-03    1.26e-03      5.14e-02    1.68e-02    6.9e-07
  35600      4.64e-02    2.36e-02      1.57e-03    1.25e-03      3.50e-02    1.73e-02    6.9e-07
  35700      7.24e-02    2.94e-02      3.16e-03    2.11e-03      5.31e-02    2.07e-02    6.9e-07
  35800      1.02e-01    6.84e-03      2.90e-03    1.09e-03      7.69e-02    2.23e-03    6.9e-07
  35900      6.79e-02    3.89e-02      5.28e-03    3.60e-03      4.68e-02    2.55e-02    6.9e-07
  36000      5.97e-02    2.45e-02      1.55e-03    1.03e-03      4.63e-02    1.87e-02    6.2e-07
  36100      6.18e-02    1.15e-02      4.01e-03    6.52e-04      4.51e-02    8.53e-03    6.2e-07
  36200      4.99e-02    2.94e-02      4.02e-03    4.66e-03      3.49e-02    1.03e-02    6.2e-07
  36300      6.36e-02    1.12e-02      2.15e-03    2.08e-04      4.88e-02    8.71e-03    6.2e-07
  36400      7.24e-02    1.60e-02      5.31e-03    6.29e-04      5.00e-02    1.23e-02    6.2e-07
  36500      8.29e-02    6.66e-03      3.32e-03    1.15e-03      6.38e-02    1.16e-03    5.6e-07
  36600      6.54e-02    1.09e-02      3.43e-03    1.14e-03      4.98e-02    7.00e-03    5.6e-07
  36700      5.63e-02    6.83e-03      2.15e-03    1.19e-03      4.38e-02    1.00e-03    5.6e-07
  36800      6.09e-02    1.07e-02      3.96e-03    1.51e-04      4.48e-02    8.58e-03    5.6e-07
  36900      6.24e-02    6.84e-03      1.05e-03    1.03e-03      4.98e-02    2.89e-03    5.6e-07
  37000      4.94e-02    1.47e-02      2.11e-03    1.52e-03      3.87e-02    9.69e-03    5.1e-07
  37100      6.16e-02    8.18e-03      3.67e-03    1.18e-03      4.68e-02    3.89e-03    5.1e-07
  37200      5.59e-02    9.56e-03      4.00e-03    1.11e-03      4.10e-02    5.87e-03    5.1e-07
  37300      6.40e-02    1.18e-02      3.73e-03    1.14e-03      4.85e-02    8.08e-03    5.1e-07
  37400      5.74e-02    1.37e-02      2.39e-03    1.12e-03      4.49e-02    9.91e-03    5.1e-07
  37500      5.45e-02    4.28e-02      3.51e-03    3.18e-03      4.18e-02    3.22e-02    4.6e-07
  37600      5.73e-02    1.02e-02      1.82e-03    1.03e-03      4.66e-02    6.99e-03    4.6e-07
  37700      5.69e-02    2.28e-02      4.27e-03    1.20e-03      4.22e-02    1.81e-02    4.6e-07
  37800      5.92e-02    1.18e-02      2.39e-03    7.04e-04      4.71e-02    9.23e-03    4.6e-07
  37900      7.04e-02    1.14e-02      2.03e-03    1.11e-03      5.75e-02    7.84e-03    4.6e-07
  38000      6.23e-02    1.94e-03      1.32e-03    1.60e-04      5.19e-02    1.44e-03    4.1e-07
  38100      5.59e-02    1.29e-02      2.87e-03    1.20e-03      4.48e-02    9.26e-03    4.1e-07
  38200      7.17e-02    4.31e-02      3.12e-03    3.61e-03      5.74e-02    3.19e-02    4.1e-07
  38300      5.62e-02    1.15e-02      4.05e-03    7.35e-04      4.15e-02    9.00e-03    4.1e-07
  38400      5.67e-02    6.61e-03      1.93e-03    1.12e-03      4.67e-02    1.61e-03    4.1e-07
  38500      5.66e-02    1.29e-02      5.38e-03    6.21e-04      4.02e-02    1.06e-02    3.7e-07
  38600      5.60e-02    1.74e-02      3.51e-03    1.08e-03      4.46e-02    1.39e-02    3.7e-07
  38700      5.78e-02    7.52e-03      3.16e-03    2.74e-04      4.66e-02    6.29e-03    3.7e-07
  38800      6.07e-02    6.74e-03      3.79e-03    1.05e-03      4.83e-02    2.72e-03    3.7e-07
  38900      6.20e-02    1.14e-02      2.54e-03    4.75e-04      5.14e-02    9.44e-03    3.7e-07
  39000      5.47e-02    5.01e-03      1.98e-03    4.87e-04      4.60e-02    3.62e-03    3.4e-07
  39100      6.24e-02    1.25e-02      2.48e-03    1.13e-03      5.14e-02    9.24e-03    3.4e-07
  39200      5.18e-02    1.15e-02      2.78e-03    1.13e-03      4.23e-02    8.29e-03    3.4e-07
  39300      6.18e-02    6.94e-03      5.01e-03    1.14e-03      4.73e-02    2.29e-03    3.4e-07
  39400      5.96e-02    7.78e-03      2.90e-03    1.05e-03      4.84e-02    4.37e-03    3.4e-07
  39500      5.47e-02    2.08e-02      1.25e-03    1.82e-03      4.74e-02    1.59e-02    3.0e-07
  39600      5.84e-02    6.68e-03      1.64e-03    1.13e-03      5.04e-02    1.79e-03    3.0e-07
  39700      5.71e-02    6.34e-03      3.76e-03    1.10e-03      4.55e-02    1.19e-03    3.0e-07
  39800      5.58e-02    1.22e-02      2.15e-03    1.10e-03      4.71e-02    9.22e-03    3.0e-07
  39900      5.47e-02    1.95e-02      3.90e-03    1.16e-03      4.29e-02    1.61e-02    3.0e-07
  40000      5.75e-02    2.32e-02      2.38e-03    1.61e-03      4.94e-02    1.89e-02    2.7e-07
  40100      5.14e-02    6.67e-03      2.35e-03    1.15e-03      4.31e-02    1.26e-03    2.7e-07
  40200      4.83e-02    1.49e-02      3.02e-03    1.48e-03      3.99e-02    1.09e-02    2.7e-07
  40300      5.57e-02    1.91e-02      3.99e-03    1.42e-03      4.48e-02    1.53e-02    2.7e-07
  40400      5.13e-02    6.64e-03      4.07e-03    1.14e-03      4.03e-02    1.47e-03    2.7e-07
  40500      5.23e-02    1.09e-02      3.39e-03    1.89e-04      4.32e-02    9.70e-03    2.5e-07
  40600      5.56e-02    1.29e-02      4.95e-03    1.75e-03      4.29e-02    7.37e-03    2.5e-07
  40700      3.75e-02    1.08e-02      1.71e-03    1.14e-03      3.18e-02    7.76e-03    2.5e-07
  40800      5.36e-02    1.08e-02      3.64e-03    1.55e-03      4.41e-02    5.69e-03    2.5e-07
  40900      5.87e-02    2.54e-02      4.94e-03    1.53e-03      4.38e-02    2.14e-02    2.5e-07
  41000      6.34e-02    1.93e-02      6.06e-03    1.31e-03      4.79e-02    1.62e-02    2.2e-07
  41100      5.25e-02    2.27e-02      3.04e-03    1.23e-03      4.47e-02    1.95e-02    2.2e-07
  41200      5.09e-02    9.60e-03      2.57e-03    1.16e-03      4.39e-02    6.36e-03    2.2e-07
  41300      5.17e-02    4.12e-02      3.74e-03    4.40e-03      4.19e-02    2.97e-02    2.2e-07
  41400      5.34e-02    7.26e-03      2.11e-03    1.15e-03      4.66e-02    2.95e-03    2.2e-07
  41500      8.62e-02    7.75e-03      2.48e-03    1.11e-03      7.73e-02    4.13e-03    2.0e-07
  41600      6.66e-02    8.88e-03      3.86e-03    1.19e-03      5.63e-02    5.30e-03    2.0e-07
  41700      5.93e-02    1.16e-02      2.57e-03    1.09e-03      5.23e-02    9.01e-03    2.0e-07
  41800      4.96e-02    7.14e-03      3.88e-03    1.24e-03      3.94e-02    1.18e-03    2.0e-07
  41900      6.02e-02    7.45e-03      1.98e-03    1.14e-03      5.40e-02    3.43e-03    2.0e-07
  42000      5.62e-02    9.96e-03      3.12e-03    1.14e-03      4.81e-02    6.98e-03    1.8e-07
  42100      7.29e-02    1.91e-02      5.12e-03    1.03e-03      6.06e-02    1.67e-02    1.8e-07
  42200      6.02e-02    9.43e-03      2.90e-03    9.71e-04      5.29e-02    7.06e-03    1.8e-07
  42300      4.90e-02    2.70e-02      3.31e-03    1.50e-03      4.12e-02    2.36e-02    1.8e-07
  42400      6.20e-02    1.52e-02      3.53e-03    8.41e-04      5.32e-02    1.33e-02    1.8e-07
  42500      5.31e-02    2.93e-03      3.62e-03    4.52e-04      4.43e-02    1.34e-03    1.6e-07
  42600      5.81e-02    8.59e-03      4.70e-03    1.12e-03      4.75e-02    5.35e-03    1.6e-07
  42700      5.41e-02    8.81e-03      4.05e-03    1.12e-03      4.52e-02    5.66e-03    1.6e-07
  42800      4.77e-02    7.53e-03      1.25e-03    1.32e-03      4.37e-02    1.05e-03    1.6e-07
  42900      5.94e-02    4.64e-03      4.09e-03    6.28e-04      4.85e-02    2.77e-03    1.6e-07
  43000      6.01e-02    9.00e-03      4.34e-03    8.40e-04      5.07e-02    7.13e-03    1.5e-07
  43100      6.48e-02    8.64e-03      1.81e-03    9.73e-04      5.97e-02    6.22e-03    1.5e-07
  43200      5.56e-02    4.59e-03      4.54e-03    3.95e-04      4.58e-02    3.74e-03    1.5e-07
  43300      4.08e-02    1.06e-02      3.02e-03    4.06e-04      3.37e-02    9.68e-03    1.5e-07
  43400      5.43e-02    1.17e-02      1.85e-03    1.11e-03      4.95e-02    9.17e-03    1.5e-07
  43500      4.52e-02    1.27e-02      2.56e-03    1.09e-03      3.98e-02    1.04e-02    1.3e-07
  43600      4.27e-02    9.65e-03      3.32e-03    1.11e-03      3.48e-02    6.90e-03    1.3e-07
  43700      6.06e-02    2.55e-02      3.47e-03    1.49e-03      5.31e-02    2.26e-02    1.3e-07
  43800      5.76e-02    1.10e-02      3.00e-03    1.01e-03      5.06e-02    8.80e-03    1.3e-07
  43900      5.17e-02    1.05e-02      3.49e-03    2.70e-04      4.49e-02    9.74e-03    1.3e-07
  44000      6.42e-02    9.32e-03      2.46e-03    1.08e-03      5.86e-02    6.64e-03    1.2e-07
  44100      6.04e-02    2.00e-02      3.23e-03    1.71e-03      5.30e-02    1.65e-02    1.2e-07
  44200      5.74e-02    9.52e-03      1.68e-03    6.27e-04      5.30e-02    8.35e-03    1.2e-07
  44300      5.25e-02    1.08e-02      3.69e-03    3.16e-04      4.44e-02    1.01e-02    1.2e-07
  44400      5.28e-02    1.28e-02      3.10e-03    1.12e-03      4.50e-02    1.05e-02    1.2e-07
  44500      4.27e-02    7.55e-03      1.53e-03    1.27e-03      3.96e-02    2.13e-03    1.1e-07
  44600      6.02e-02    7.90e-03      2.31e-03    1.15e-03      5.48e-02    4.28e-03    1.1e-07
  44700      4.01e-02    1.15e-02      1.50e-03    1.10e-03      3.72e-02    9.23e-03    1.1e-07
  44800      5.15e-02    4.55e-02      2.43e-03    5.18e-03      4.69e-02    3.30e-02    1.1e-07
  44900      5.33e-02    1.39e-02      3.39e-03    1.27e-03      4.61e-02    1.13e-02    1.1e-07
  45000      4.41e-02    5.66e-03      1.69e-03    9.11e-04      4.08e-02    2.24e-03    9.8e-08
  45100      4.07e-02    6.54e-03      1.99e-03    1.14e-03      3.70e-02    1.07e-03    9.8e-08
  45200      5.76e-02    2.14e-02      4.89e-03    1.01e-03      4.81e-02    1.96e-02    9.8e-08
  45300      5.37e-02    8.70e-03      3.90e-03    1.16e-03      4.55e-02    5.43e-03    9.8e-08
  45400      5.91e-02    1.17e-02      2.66e-03    6.50e-04      5.40e-02    1.06e-02    9.8e-08
  45500      6.50e-02    1.18e-02      3.23e-03    1.11e-03      5.94e-02    9.55e-03    8.8e-08
  45600      5.05e-02    1.22e-02      3.55e-03    1.50e-03      4.41e-02    8.43e-03    8.8e-08
  45700      5.62e-02    1.23e-02      4.50e-03    1.66e-03      4.65e-02    7.60e-03    8.8e-08
  45800      4.71e-02    1.19e-02      2.97e-03    1.12e-03      4.18e-02    9.62e-03    8.8e-08
  45900      5.36e-02    7.19e-03      3.54e-03    7.09e-04      4.73e-02    5.73e-03    8.8e-08
  46000      4.56e-02    2.05e-02      2.55e-03    1.07e-03      4.03e-02    1.89e-02    8.0e-08
  46100      5.06e-02    6.44e-03      4.43e-03    1.12e-03      4.15e-02    1.15e-03    8.0e-08
  46200      5.50e-02    8.86e-03      3.26e-03    1.02e-03      4.96e-02    6.46e-03    8.0e-08
  46300      5.20e-02    2.06e-02      3.65e-03    1.03e-03      4.56e-02    1.90e-02    8.0e-08
  46400      5.94e-02    4.24e-02      2.61e-03    3.56e-03      5.48e-02    3.59e-02    8.0e-08
  46500      6.45e-02    8.57e-03      3.03e-03    1.10e-03      5.97e-02    5.70e-03    7.2e-08
  46600      6.56e-02    7.02e-03      3.10e-03    1.15e-03      6.06e-02    2.52e-03    7.2e-08
  46700      4.69e-02    8.74e-03      3.05e-03    3.22e-04      4.16e-02    8.26e-03    7.2e-08
  46800      5.53e-02    3.05e-02      2.24e-03    3.18e-03      5.19e-02    2.38e-02    7.2e-08
  46900      4.91e-02    3.47e-02      2.57e-03    3.31e-03      4.51e-02    2.82e-02    7.2e-08
  47000      5.63e-02    1.22e-02      3.64e-03    5.15e-04      5.06e-02    1.15e-02    6.5e-08
  47100      5.13e-02    1.22e-02      2.65e-03    5.39e-04      4.74e-02    1.14e-02    6.5e-08
  47200      6.36e-02    7.13e-03      3.51e-03    1.24e-03      5.78e-02    1.09e-03    6.5e-08
  47300      4.46e-02    1.24e-02      3.14e-03    1.11e-03      3.87e-02    1.04e-02    6.5e-08
  47400      6.11e-02    1.67e-02      5.84e-03    9.90e-04      4.95e-02    1.52e-02    6.5e-08
  47500      5.01e-02    6.43e-03      2.94e-03    1.12e-03      4.54e-02    1.09e-03    5.9e-08
  47600      5.37e-02    9.25e-03      4.05e-03    1.15e-03      4.71e-02    6.42e-03    5.9e-08
  47700      4.82e-02    2.31e-02      2.17e-03    1.11e-03      4.46e-02    2.16e-02    5.9e-08
  47800      4.80e-02    1.17e-02      2.08e-03    4.39e-04      4.45e-02    1.11e-02    5.9e-08
  47900      5.17e-02    2.88e-02      3.27e-03    1.09e-03      4.63e-02    2.73e-02    5.9e-08
  48000      5.91e-02    1.03e-02      4.30e-03    2.89e-04      5.13e-02    9.88e-03    5.3e-08
  48100      5.57e-02    4.27e-02      3.64e-03    3.87e-03      4.88e-02    3.58e-02    5.3e-08
  48200      5.51e-02    6.65e-03      3.14e-03    1.16e-03      5.02e-02    1.09e-03    5.3e-08
  48300      5.02e-02    3.44e-02      3.24e-03    3.75e-03      4.48e-02    2.64e-02    5.3e-08
  48400      6.45e-02    8.40e-03      4.19e-03    4.02e-04      5.77e-02    7.88e-03    5.3e-08
  48500      4.73e-02    1.29e-02      3.13e-03    1.13e-03      4.24e-02    1.09e-02    4.8e-08
  48600      5.52e-02    8.20e-03      4.58e-03    1.10e-03      4.71e-02    5.19e-03    4.8e-08
  48700      6.47e-02    2.68e-03      2.22e-03    2.57e-04      6.18e-02    2.20e-03    4.8e-08
  48800      6.06e-02    1.04e-02      4.13e-03    1.14e-03      5.28e-02    7.98e-03    4.8e-08
  48900      5.60e-02    1.01e-02      2.99e-03    1.12e-03      5.10e-02    7.69e-03    4.8e-08
  49000      4.87e-02    9.96e-03      2.29e-03    5.76e-04      4.56e-02    9.21e-03    4.3e-08
  49100      6.69e-02    2.15e-02      6.23e-03    1.05e-03      5.44e-02    2.02e-02    4.3e-08
  49200      4.62e-02    5.63e-03      1.68e-03    2.54e-04      4.39e-02    5.33e-03    4.3e-08
  49300      5.31e-02    2.08e-02      3.56e-03    1.01e-03      4.70e-02    1.96e-02    4.3e-08
  49400      5.46e-02    3.83e-03      3.47e-03    5.89e-04      4.85e-02    1.84e-03    4.3e-08
  49500      5.54e-02    6.44e-02      3.35e-03    7.33e-03      5.08e-02    4.83e-02    3.9e-08
  49600      5.41e-02    1.11e-02      1.68e-03    1.18e-03      5.19e-02    8.70e-03    3.9e-08
  49700      5.80e-02    1.12e-02      2.30e-03    1.12e-03      5.51e-02    9.08e-03    3.9e-08
  49800      4.57e-02    5.72e-03      4.14e-03    9.88e-04      3.78e-02    1.22e-03    3.9e-08
  49900      4.57e-02    1.06e-02      3.17e-03    3.06e-04      4.12e-02    1.02e-02    3.9e-08
  50000      5.64e-02    6.65e-03      1.01e-03    1.16e-03      5.51e-02    1.22e-03    3.5e-08
